validstart,mapdate,none,d0,d1,d2,d3,d4,region_east_central,region_north_central,region_northeast,region_northwest,region_south_central,region_southeast,region_southwest,climatedivisionsid_201,climatedivisionsid_202,climatedivisionsid_203,climatedivisionsid_204,climatedivisionsid_205,climatedivisionsid_206,climatedivisionsid_207,is_drought_area
2021-07-20,20210720,0.0,0.0,458.1,2320.74,11819.04,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-07-20,20210720,0.0,0.0,0.0,4534.31,3593.75,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-07-20,20210720,0.0,0.0,0.0,1819.71,16017.81,22001.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-07-13,20210713,0.0,0.0,458.1,2320.74,7589.74,4229.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-07-13,20210713,0.0,0.0,0.0,0.0,7866.81,261.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-07-13,20210713,0.0,79.0,1246.1,681.69,1785.36,19344.34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-07-13,20210713,0.0,0.0,0.0,0.0,1173.71,12296.14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-07-13,20210713,0.0,0.0,0.0,0.0,3600.24,1194.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-07-13,20210713,0.0,0.0,0.0,333.09,11854.46,27651.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-07-13,20210713,0.0,1141.05,3197.67,2567.75,2255.86,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-07-06,20210706,0.0,0.0,0.0,0.0,3600.24,1194.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-07-06,20210706,0.0,1115.03,3220.46,2549.11,2277.72,870.15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-07-06,20210706,0.0,0.0,0.0,331.68,11855.86,27651.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-07-06,20210706,0.0,0.0,0.0,0.0,1173.71,12296.14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-07-06,20210706,0.0,77.6,1272.6,666.72,1775.23,19344.34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-07-06,20210706,0.0,0.0,459.78,2302.79,7606.0,4229.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-07-06,20210706,0.0,0.0,0.0,0.0,7866.81,261.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-06-29,20210629,0.0,0.0,0.0,0.0,3600.24,1194.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-06-29,20210629,0.0,0.0,0.0,0.0,7866.81,261.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-06-29,20210629,0.0,84.65,1265.54,666.72,1775.23,19344.34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-06-29,20210629,0.0,0.0,0.0,0.0,1173.71,12296.14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-06-29,20210629,0.0,0.0,0.0,331.68,11855.86,27651.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
